Identifiant;Enseigne;Adresse;Etat;ACTIVITE;Activité regroupée CCI;commerce zéro déchet;Secteur;ZFU;Quartier Politique de la ville;A vendre, A louer;geo_shape;geo_point_2d;latitude;longitude
302;BOULEVARD DE LA VAP;167B BOULEVARD DE FOURMIES;OUV;AU;5;;SUD;N;N;;"{""type"": ""Point"", ""coordinates"": [3.184366100354841, 50.674252941278695]}";50.6742529413,3.18436610035;50.6742529413;3.18436610035
317;PHARMACIE ST EXUPERY;172 RUE DE LILLE;OUV;PH;5;;OUEST;N;O;;"{""type"": ""Point"", ""coordinates"": [3.165864721590444, 50.68483004133034]}";50.6848300413,3.16586472159;50.6848300413;3.16586472159
338;BOUCHERIE DE L ATLAS;18 RUE JEAN GOUJON;OUV;BC;1;;SUD;N;N;;"{""type"": ""Point"", ""coordinates"": [3.179586230201248, 50.68029362860217]}";50.6802936286,3.1795862302;50.6802936286;3.1795862302
276;AFRIKAN KORNER;16 AVENUE JEAN BAPTISTE LEBAS;OUV;CAFE HOTEL RESTAURANT;6;;CENTRE;O;O;;"{""type"": ""Point"", ""coordinates"": [3.172400080200967, 50.69204733717933]}";50.6920473372,3.1724000802;50.6920473372;3.1724000802
268;JOUVENEL;154 RUE DE L ALMA;OUV;EQUIPEMENT DE LA PERSONNE;2;;NORD;O;O;;"{""type"": ""Point"", ""coordinates"": [3.168406867592128, 50.69868491134727]}";50.6986849113,3.16840686759;50.6986849113;3.16840686759
286;;161 RUE DE L EPEULE;DISPO;BO;8;;OUEST;O;O;;"{""type"": ""Point"", ""coordinates"": [3.159046894361015, 50.688295326903216]}";50.6882953269,3.15904689436;50.6882953269;3.15904689436
296;BOULANGERIE  YANIS;166 RUE DE L EPEULE;OUV;Boulangerie;1;;OUEST;O;O;;"{""type"": ""Point"", ""coordinates"": [3.158548301533815, 50.68806252836593]}";50.6880625284,3.15854830153;50.6880625284;3.15854830153
319;LA POM D OR;174 RUE DE L HOMMELET;OUV;ALIMENTAIRE;1;;NORD;O;O;;"{""type"": ""Point"", ""coordinates"": [3.181326075900925, 50.698804741113335]}";50.6988047411,3.1813260759;50.6988047411;3.1813260759
258;LE TRIANGLE SUPERMARCHÉ HALLAL;150 RUE DE L EPEULE;OUV;ALIMENTAIRE;1;;OUEST;O;O;;"{""type"": ""Point"", ""coordinates"": [3.159035877940723, 50.68846387517942]}";50.6884638752,3.15903587794;50.6884638752;3.15903587794
231;;144 RUE DE L ALMA;DISPO;;8;;NORD;O;O;;"{""type"": ""Point"", ""coordinates"": [3.168207280684077, 50.69854948544081]}";50.6985494854,3.16820728068;50.6985494854;3.16820728068
303;LE CHAMPI;168 RUE DE L EPEULE;OUV;DB;6;;OUEST;O;O;;"{""type"": ""Point"", ""coordinates"": [3.158501441898641, 50.68803219826291]}";50.6880321983,3.1585014419;50.6880321983;3.1585014419
435;FOODTEAM;212 BOULEVARD BEAUREPAIRE;OUV;RR;6;;EST;N;O;;"{""type"": ""Point"", ""coordinates"": [3.200503187670842, 50.69083997767153]}";50.6908399777,3.20050318767;50.6908399777;3.20050318767
489;TRIUMPH;228 AVENUE ALFRED MOTTE;OUV;VET;2;;SUD;N;N;;"{""type"": ""Point"", ""coordinates"": [3.196316604284881, 50.67542176959524]}";50.6754217696,3.19631660428;50.6754217696;3.19631660428
397;L'OLIVIER BLANC;2 RUE NICOLAS POUSSIN;OUV;FL;4;;SUD;N;N;;"{""type"": ""Point"", ""coordinates"": [3.178634089681568, 50.679763769172396]}";50.6797637692,3.17863408968;50.6797637692;3.17863408968
475;BRASSERIE IMPERATRICE EUGENIE;22 PLACE DE LA LIBERTE;OUV;RT;6;;CENTRE;O;N;;"{""type"": ""Point"", ""coordinates"": [3.17859328114679, 50.691764423371964]}";50.6917644234,3.17859328115;50.6917644234;3.17859328115
349;EPICERIE;187 BOULEVARD BEAUREPAIRE;OUV;ALIMENTAIRE;1;;EST;N;O;;"{""type"": ""Point"", ""coordinates"": [3.197143166762098, 50.69105146313275]}";50.6910514631,3.19714316676;50.6910514631;3.19714316676
416;HAIR STYLE;204 BOULEVARD GAMBETTA;OUV;CF;5;;EST;N;O;;"{""type"": ""Point"", ""coordinates"": [3.187206295629462, 50.69267741002622]}";50.69267741,3.18720629563;50.69267741;3.18720629563
437;CAFE AU  BOULEVARD;213 BOULEVARD DE MULHOUSE;OUV;DB;6;;EST;N;O;;"{""type"": ""Point"", ""coordinates"": [3.198182925556997, 50.68767088693371]}";50.6876708869,3.19818292556;50.6876708869;3.19818292556
404;ALDI;20 RUE DU BOIS;OUV;ALIMENTAIRE;1;;OUEST;O;O;;"{""type"": ""Point"", ""coordinates"": [3.169421428810835, 50.690779284406425]}";50.6907792844,3.16942142881;50.6907792844;3.16942142881
417;M DWITCH;205 BOULEVARD DE FOURMIES;OUV;RR;6;;SUD;O;N;;"{""type"": ""Point"", ""coordinates"": [3.1862082609252, 50.67330628055551]}";50.6733062806,3.18620826093;50.6733062806;3.18620826093
413;VISION PLUS;203 AVENUE ALFRED MOTTE;OUV;SERVICES A LA PERSONNE;5;;SUD;N;N;;"{""type"": ""Point"", ""coordinates"": [3.195125146879015, 50.675210240704445]}";50.6752102407,3.19512514688;50.6752102407;3.19512514688
406;AU BON PAIN FRAIS;20 RUE MAZAGRAN;OUV;AU_INF;1;;NORD;N;O;;"{""type"": ""Point"", ""coordinates"": [3.187004658782917, 50.70390069465828]}";50.7039006947,3.18700465878;50.7039006947;3.18700465878
376;SQUARE HABITAT;2 AVENUE JEAN BAPTISTE LEBAS;OUV;AUTRES TYPE DE SERVICES;7;;CENTRE;O;O;;"{""type"": ""Point"", ""coordinates"": [3.173268137154561, 50.691751393428056]}";50.6917513934,3.17326813715;50.6917513934;3.17326813715
420;LE VETERAN;208 RUE INGRES;OUV;DB;6;;SUD;N;N;;"{""type"": ""Point"", ""coordinates"": [3.183495462530911, 50.67645495667106]}";50.6764549567,3.18349546253;50.6764549567;3.18349546253
473;FIVES THAI COFFEE;22 GRANDE RUE;OUV;RT;6;;CENTRE;O;N;;"{""type"": ""Point"", ""coordinates"": [3.17629738158014, 50.69204933977388]}";50.6920493398,3.17629738158;50.6920493398;3.17629738158
674;GARAGE AUTO 29;29 RUE DU LUXEMBOURG;OUV;AUTRES TYPE DE SERVICES;7;;OUEST;N;O;;"{""type"": ""Point"", ""coordinates"": [3.157746020395732, 50.69187143772586]}";50.6918714377,3.1577460204;50.6918714377;3.1577460204
631;;26 RUE SAINT MAURICE;OUV;;8;;NORD;O;O;;"{""type"": ""Point"", ""coordinates"": [3.172235523307168, 50.70004164385958]}";50.7000416439,3.17223552331;50.7000416439;3.17223552331
607;CHRONO PIZZA;247 RUE DE L EPEULE;OUV;RR;6;;OUEST;O;O;;"{""type"": ""Point"", ""coordinates"": [3.158633063104922, 50.68627062904907]}";50.686270629,3.1586330631;50.686270629;3.1586330631
569;;23 PLACE DU TRICHON;DISPO;CAFE HOTEL RESTAURANT;8;;CENTRE;O;O;;"{""type"": ""Point"", ""coordinates"": [3.168808069661901, 50.68980285699871]}";50.689802857,3.16880806966;50.689802857;3.16880806966
589;ASSIETTE SAUVAGE;238 RUE DE LANNOY;OUV;AU;5;;EST;O;O;;"{""type"": ""Point"", ""coordinates"": [3.1877686999279122, 50.68555464250241]}";50.6855546425,3.18776869993;50.6855546425;3.18776869993
601;THE CLEANER;244 GRANDE RUE;OUV;;5;;NORD;N;O;;"{""type"": ""Point"", ""coordinates"": [3.193283805182015, 50.69484522239327]}";50.6948452224,3.19328380518;50.6948452224;3.19328380518
668;LA  PALMERAIE;29 BOULEVARD DU GENERAL DE GAULLE;OUV;RT;6;;CENTRE;N;O;;"{""type"": ""Point"", ""coordinates"": [3.174017877551664, 50.686518894175755]}";50.6865188942,3.17401787755;50.6865188942;3.17401787755
672;CREPY PNEU;29 RUE DE L OUEST;OUV;GA;7;;OUEST;N;O;;"{""type"": ""Point"", ""coordinates"": [3.160706092824849, 50.69482358699303]}";50.694823587,3.16070609282;50.694823587;3.16070609282
599;RESTAURANT CA'TESPERO;242 RUE DE L ALMA;OUV;RT;6;;NORD;O;O;;"{""type"": ""Point"", ""coordinates"": [3.17088884447986, 50.700731554540056]}";50.7007315545,3.17088884448;50.7007315545;3.17088884448
639;L'INSTITUT PAR FANNY L;27 AVENUE JEAN BAPTISTE LEBAS;OUV;PB;5;;CENTRE;O;O;;"{""type"": ""Point"", ""coordinates"": [3.17145318612148, 50.6921951994514]}";50.6921951995,3.17145318612;50.6921951995;3.17145318612
575;EL MAKHBAZA;23 RUE MONGE;OUV;ALIMENTAIRE;1;;EST;N;O;;"{""type"": ""Point"", ""coordinates"": [3.188071408459434, 50.691249630903584]}";50.6912496309,3.18807140846;50.6912496309;3.18807140846
579;SEC A NEUF;230 RUE DE LANNOY;OUV;LP;5;;EST;O;O;;"{""type"": ""Point"", ""coordinates"": [3.187393911441413, 50.68577958763701]}";50.6857795876,3.18739391144;50.6857795876;3.18739391144
618;EPICERIE SANDWICHERIE;253 RUE PIERRE DE ROUBAIX;OUV;RR;6;;EST;O;O;;"{""type"": ""Point"", ""coordinates"": [3.1913039174821582, 50.68603137803709]}";50.686031378,3.19130391748;50.686031378;3.19130391748
621;BOULANGERIE PATISSERIE  NANAN;258 AVENUE GUSTAVE DELORY;OUV;BO;1;;SUD;N;N;;"{""type"": ""Point"", ""coordinates"": [3.183336225935782, 50.67096914007655]}";50.6709691401,3.18333622594;50.6709691401;3.18333622594
648;LA GRANDE KABYLIE;270 GRANDE RUE;OUV;CAFE HOTEL RESTAURANT;6;;NORD;N;O;;"{""type"": ""Point"", ""coordinates"": [3.194311277434612, 50.69501277434632]}";50.6950127743,3.19431127743;50.6950127743;3.19431127743
677;;296 BOULEVARD DE REIMS;DISPO;ALIMENTAIRE;8;;SUD;N;O;;"{""type"": ""Point"", ""coordinates"": [3.185867608227845, 50.6782274456181]}";50.6782274456,3.18586760823;50.6782274456;3.18586760823
574;LIBRAIRIE BOUKHARI;23 RUE DU VIEIL ABREUVOIR;OUV;LJ;4;;CENTRE;O;O;;"{""type"": ""Point"", ""coordinates"": [3.172892226555653, 50.692343709150734]}";50.6923437092,3.17289222656;50.6923437092;3.17289222656
571;FIRDAWS SHOP;23 RUE DE TOURCOING;OUV;;1;;NORD;O;O;;"{""type"": ""Point"", ""coordinates"": [3.173783754233154, 50.699936682067616]}";50.6999366821,3.17378375423;50.6999366821;3.17378375423
657;YA YILDIZ;28 RUE D ARCHIMEDE;OUV;CAFE HOTEL RESTAURANT;6;;NORD;O;O;;"{""type"": ""Point"", ""coordinates"": [3.170518608958568, 50.69827798300243]}";50.698277983,3.17051860896;50.698277983;3.17051860896
656;MIROITERIE TROUSSON;24 QUAI DE GAND;OUV;EQUIPEMENT DE LA MAISON;3;;NORD;O;N;;"{""type"": ""Point"", ""coordinates"": [3.178527020427579, 50.70632336445821]}";50.7063233645,3.17852702043;50.7063233645;3.17852702043
654;;28 GRANDE RUE;PROJ;;8;;CENTRE;O;N;;"{""type"": ""Point"", ""coordinates"": [3.176553809992581, 50.69209273876507]}";50.6920927388,3.17655380999;50.6920927388;3.17655380999
606;BACHA;247 RUE DE L EPEULE;OUV;Au;4;;OUEST;O;O;;"{""type"": ""Point"", ""coordinates"": [3.158640716846975, 50.68620471457109]}";50.6862047146,3.15864071685;50.6862047146;3.15864071685
596;;24 RUE DU VIEIL ABREUVOIR;DISPO;;8;;CENTRE;O;O;;"{""type"": ""Point"", ""coordinates"": [3.172999633697652, 50.692345381344694]}";50.6923453813,3.1729996337;50.6923453813;3.1729996337
681;TEMPORIS;3 BOULEVARD DU GENERAL LECLERC;OUV;AUTRES TYPE DE SERVICES;7;;CENTRE;O;N;;"{""type"": ""Point"", ""coordinates"": [3.174892015629077, 50.688034599198616]}";50.6880345992,3.17489201563;50.6880345992;3.17489201563
655;SUBWAY;28 PLACE DE LA LIBERTE;OUV;CAFE HOTEL RESTAURANT;6;;CENTRE;O;N;;"{""type"": ""Point"", ""coordinates"": [3.178851645132092, 50.69153277203823]}";50.691532772,3.17885164513;50.691532772;3.17885164513
717;;32 GRAND PLACE;PROJ;;8;N;CENTRE;O;O;;"{""type"": ""Point"", ""coordinates"": [3.174830456891701, 50.6920686074522]}";50.6920686075,3.17483045689;50.6920686075;3.17483045689
770;LA MAISON ROTSAERT;388 RUE DE LANNOY;OUV;FL;4;;EST;O;N;;"{""type"": ""Point"", ""coordinates"": [3.193099264384533, 50.68278137285807]}";50.6827813729,3.19309926438;50.6827813729;3.19309926438
727;PLANCKAERT;327 RUE DE LANNOY;OUV;BO;1;;EST;O;N;;"{""type"": ""Point"", ""coordinates"": [3.19315561592347, 50.682942237402095]}";50.6829422374,3.19315561592;50.6829422374;3.19315561592
759;CHRONO PIZZA;369 RUE DE LANNOY;OUV;AU;1;;EST;O;N;;"{""type"": ""Point"", ""coordinates"": [3.193861393310759, 50.682207939753276]}";50.6822079398,3.19386139331;50.6822079398;3.19386139331
766;TABAC LE RENOUVEAU;377 RUE DE LANNOY;OUV;DB;6;;EST;O;N;;"{""type"": ""Point"", ""coordinates"": [3.194053601457954, 50.68204348660354]}";50.6820434866,3.19405360146;50.6820434866;3.19405360146
721;CASTEL MOTOS;32 RUE DU MARECHAL FOCH;OUV;AU;2;;CENTRE;O;O;;"{""type"": ""Point"", ""coordinates"": [3.173493883313909, 50.69008354867317]}";50.6900835487,3.17349388331;50.6900835487;3.17349388331
703;LA CUENTA;31 BOULEVARD DU GENERAL DE GAULLE;OUV;RR;6;;CENTRE;N;N;;"{""type"": ""Point"", ""coordinates"": [3.173784852927336, 50.68634982220254]}";50.6863498222,3.17378485293;50.6863498222;3.17378485293
720;AL DUBAÏ;32 RUE DU BOIS;OUV;CAFE HOTEL RESTAURANT;6;;OUEST;O;O;;"{""type"": ""Point"", ""coordinates"": [3.168929588171538, 50.690308838913516]}";50.6903088389,3.16892958817;50.6903088389;3.16892958817
686;LE PETIT ROUBAIX;3 RUE DE L ESPERANCE;OUV;RT;6;;CENTRE;O;O;;"{""type"": ""Point"", ""coordinates"": [3.169669868213069, 50.69262201861843]}";50.6926220186,3.16966986821;50.6926220186;3.16966986821
729;CAMARA;33 GRANDE RUE;OUV;Au;4;;CENTRE;O;O;;"{""type"": ""Point"", ""coordinates"": [3.177507456772806, 50.69234361978194]}";50.6923436198,3.17750745677;50.6923436198;3.17750745677
687;AMPLIFON;3 RUE DE LA HALLE;OUV;AUTRES TYPE DE SERVICES;7;;CENTRE;O;N;;"{""type"": ""Point"", ""coordinates"": [3.17669315812033, 50.6907161551526]}";50.6907161552,3.17669315812;50.6907161552;3.17669315812
774;ARIELLE D. COLLECTION MAISON;3B RUE DU CHEMIN DE FER;OUV;EQUIPEMENT DE LA MAISON;3;O;CENTRE;O;O;;"{""type"": ""Point"", ""coordinates"": [3.166643073281374, 50.69411464574984]}";50.6941146457,3.16664307328;50.6941146457;3.16664307328
756;SPICY   R   VILLAGE;36 RUE HENRI CARETTE;OUV;CAFE HOTEL RESTAURANT;6;;NORD;O;O;;"{""type"": ""Point"", ""coordinates"": [3.172713536526762, 50.699013920893606]}";50.6990139209,3.17271353653;50.6990139209;3.17271353653
690;LA DIOZA;3 RUE PIERRE MOTTE;OUV;AU;6;;CENTRE;O;N;;"{""type"": ""Point"", ""coordinates"": [3.175707705512908, 50.691001749021176]}";50.691001749,3.17570770551;50.691001749;3.17570770551
776;BABOU;4 BOULEVARD GAMBETTA;OUV;EQUIPEMENT DE LA PERSONNE;2;;CENTRE;O;N;;"{""type"": ""Point"", ""coordinates"": [3.180183494588371, 50.691151842069104]}";50.6911518421,3.18018349459;50.6911518421;3.18018349459
775;;4 AVENUE JEAN BAPTISTE LEBAS;PROJ;;8;;CENTRE;O;O;;"{""type"": ""Point"", ""coordinates"": [3.172959307091965, 50.69182077779032]}";50.6918207778,3.17295930709;50.6918207778;3.17295930709
728;AGENCE IMMOBILIÉRE/ ABRISUR;33 GRAND PLACE;OUV;IMMO;7;;CENTRE;O;O;;"{""type"": ""Point"", ""coordinates"": [3.174742664018099, 50.69205754182089]}";50.6920575418,3.17474266402;50.6920575418;3.17474266402
689;LA SUITE;3 RUE HEILMAN;OUV;RR;6;;OUEST;O;O;;"{""type"": ""Point"", ""coordinates"": [3.159706894074494, 50.68932572305271]}";50.6893257231,3.15970689407;50.6893257231;3.15970689407
694;DAJAJ POULET;30 PLACE DU PROGRES;OUV;ALIMENTAIRE;1;;NORD;O;O;;"{""type"": ""Point"", ""coordinates"": [3.177842407367768, 50.70461766516598]}";50.7046176652,3.17784240737;50.7046176652;3.17784240737
814;SUSHI JIRAIYA;44 GRANDE RUE;OUV;RT;6;;CENTRE;O;N;;"{""type"": ""Point"", ""coordinates"": [3.17712171555729, 50.69219190119629]}";50.6921919012,3.17712171556;50.6921919012;3.17712171556
901;SAJESS;45 RUE DE L EPEULE;OUV;EQUIPEMENT DE LA PERSONNE;2;;OUEST;O;O;;"{""type"": ""Point"", ""coordinates"": [3.162392639962305, 50.69072183864474]}";50.6907218386,3.16239263996;50.6907218386;3.16239263996
826;CHARLES LE GOLF;44 MAIL LANNOY;OUV;EQUIPEMENT DE LA PERSONNE;2;;CENTRE;O;N;;"{""type"": ""Point"", ""coordinates"": [3.180911108929485, 50.68977484980919]}";50.6897748498,3.18091110893;50.6897748498;3.18091110893
865;MODA VISTA;44 MAIL LANNOY;OUV;EQUIPEMENT DE LA PERSONNE;2;;CENTRE;O;N;;"{""type"": ""Point"", ""coordinates"": [3.179852023825275, 50.689949431577]}";50.6899494316,3.17985202383;50.6899494316;3.17985202383
832;COSMOPOLITAIN;44 MAIL LANNOY;OUV;CAFE HOTEL RESTAURANT;6;;CENTRE;O;N;;"{""type"": ""Point"", ""coordinates"": [3.181297890330158, 50.68988097993102]}";50.6898809799,3.18129789033;50.6898809799;3.18129789033
895;AU FRAIS FRESNOY;44 RUE DU FRESNOY;OUV;ALIMENTAIRE;1;;OUEST;N;O;;"{""type"": ""Point"", ""coordinates"": [3.159632047451121, 50.69691775867727]}";50.6969177587,3.15963204745;50.6969177587;3.15963204745
864;MINELLI;44 MAIL LANNOY;OUV;EQUIPEMENT DE LA PERSONNE;2;;CENTRE;O;N;;"{""type"": ""Point"", ""coordinates"": [3.179929462705798, 50.68998266608709]}";50.6899826661,3.17992946271;50.6899826661;3.17992946271
855;LAFUMA;44 MAIL LANNOY;OUV;EQUIPEMENT DE LA PERSONNE;2;;CENTRE;O;N;;"{""type"": ""Point"", ""coordinates"": [3.181993095140621, 50.68898854691917]}";50.6889885469,3.18199309514;50.6889885469;3.18199309514
835;ESPRIT;44 MAIL LANNOY;OUV;EQUIPEMENT DE LA PERSONNE;2;;CENTRE;O;N;;"{""type"": ""Point"", ""coordinates"": [3.180609634490025, 50.69040955057146]}";50.6904095506,3.18060963449;50.6904095506;3.18060963449
888;TRESPASS;44 MAIL LANNOY;OUV;EQUIPEMENT DE LA PERSONNE;2;;CENTRE;O;N;;"{""type"": ""Point"", ""coordinates"": [3.17998986317845, 50.69000392669817]}";50.6900039267,3.17998986318;50.6900039267;3.17998986318
825;CAROLL;44 MAIL LANNOY;OUV;EQUIPEMENT DE LA PERSONNE;2;;CENTRE;O;N;;"{""type"": ""Point"", ""coordinates"": [3.181073925194804, 50.69005181982673]}";50.6900518198,3.18107392519;50.6900518198;3.18107392519
837;FACONNABLE;44 MAIL LANNOY;OUV;EQUIPEMENT DE LA PERSONNE;2;;CENTRE;O;N;;"{""type"": ""Point"", ""coordinates"": [3.1797820764056492, 50.68992411071748]}";50.6899241107,3.17978207641;50.6899241107;3.17978207641
882;TARA JARMON;44 MAIL LANNOY;OUV;EQUIPEMENT DE LA PERSONNE;2;;CENTRE;O;N;;"{""type"": ""Point"", ""coordinates"": [3.180603358640867, 50.69002797074392]}";50.6900279707,3.18060335864;50.6900279707;3.18060335864
986;LA PETITE MEZZANINE;55 AVENUE JEAN BAPTISTE LEBAS;OUV;RT;6;;CENTRE;;;;"{""type"": ""Point"", ""coordinates"": [3.169913600153265, 50.692832127797196]}";50.6928321278,3.16991360015;50.6928321278;3.16991360015
945;WEBDEAL AUTO;50 RUE JEAN MOULIN;OUV;GA;7;;CENTRE;N;O;;"{""type"": ""Point"", ""coordinates"": [3.175626026664603, 50.6864553579735]}";50.686455358,3.17562602666;50.686455358;3.17562602666
959;;52 RUE DE L ALMA;DISPO;;8;;CENTRE;O;O;;"{""type"": ""Point"", ""coordinates"": [3.164458455394596, 50.695923973680586]}";50.6959239737,3.16445845539;50.6959239737;3.16445845539
1025;LA PICOLA PIZZERIA;60 AVENUE JEAN BAPTISTE LEBAS;OUV;RT;6;;CENTRE;O;O;;"{""type"": ""Point"", ""coordinates"": [3.170470126326942, 50.69283757374621]}";50.6928375737,3.17047012633;50.6928375737;3.17047012633
1020;RED BURGER;2TER RUE DE LA VIGNE;OUV;RR;6;;NORD;N;O;;"{""type"": ""Point"", ""coordinates"": [3.180435959801738, 50.69985789183861]}";50.6998578918,3.1804359598;50.6998578918;3.1804359598
951;L'ATELIER 72;51 RUE FONTENOY;OUV;RT;6;;NORD;O;O;;"{""type"": ""Point"", ""coordinates"": [3.170857741602928, 50.69698807589686]}";50.6969880759,3.1708577416;50.6969880759;3.1708577416
938;CHEZ BOB;5 RUE DU BOIS;OUV;DB;6;;CENTRE;O;O;;"{""type"": ""Point"", ""coordinates"": [3.169834138368461, 50.69117488622201]}";50.6911748862,3.16983413837;50.6911748862;3.16983413837
999;CONFISERIE RAMAYA;57 RUE DU COLLEGE;OUV;ALIMENTATION;1;;NORD;O;O;;"{""type"": ""Point"", ""coordinates"": [3.179044492991813, 50.695041182776265]}";50.6950411828,3.17904449299;50.6950411828;3.17904449299
947;CORDONNERIE;504B RUE DE LANNOY;OUV;SERVICES A LA PERSONNE;5;;EST;N;N;;"{""type"": ""Point"", ""coordinates"": [3.196311831310916, 50.67953054696395]}";50.679530547,3.19631183131;50.679530547;3.19631183131
952;;51 RUE NAIN;DISPO;;8;;CENTRE;O;O;;"{""type"": ""Point"", ""coordinates"": [3.169977840562636, 50.693686978921235]}";50.6936869789,3.16997784056;50.6936869789;3.16997784056
935;SIGLA;5 PLACE DE LA LIBERTE;OUV;IMMO;7;;CENTRE;O;N;;"{""type"": ""Point"", ""coordinates"": [3.179226173421104, 50.69178514675079]}";50.6917851468,3.17922617342;50.6917851468;3.17922617342
996;CARROSSERIE GAMBETTA;57 BOULEVARD GAMBETTA;OUV;AUTRES TYPE DE SERVICES;7;;CENTRE;O;O;;"{""type"": ""Point"", ""coordinates"": [3.18138204568498, 50.692060426699044]}";50.6920604267,3.18138204568;50.6920604267;3.18138204568
968;BOUFFONS;53 BOULEVARD DU GENERAL LECLERC;OUV;RR;6;;CENTRE;O;N;;"{""type"": ""Point"", ""coordinates"": [3.178435274955204, 50.69105784545533]}";50.6910578455,3.17843527496;50.6910578455;3.17843527496
909;;47/49 RUE DU VIEIL ABREUVOIR;DISPO;AU;8;;CENTRE;O;O;;"{""type"": ""Point"", ""coordinates"": [3.173261590378148, 50.69286120748254]}";50.6928612075,3.17326159038;50.6928612075;3.17326159038
965;SERVI-FLANDRE;52 RUE DU MARECHAL FOCH;OUV;AU;5;;CENTRE;O;O;;"{""type"": ""Point"", ""coordinates"": [3.173767741899851, 50.689013936792186]}";50.6890139368,3.1737677419;50.6890139368;3.1737677419
993;PIZZERIA DEL MONDO;56 RUE DE L EPEULE;OUV;RT;6;;OUEST;O;O;;"{""type"": ""Point"", ""coordinates"": [3.16212206568436, 50.690647270945654]}";50.6906472709,3.16212206568;50.6906472709;3.16212206568
1013;COUPE TIF;59 RUE JEAN MOULIN;OUV;SERVICES A LA PERSONNE;5;;CENTRE;N;O;;"{""type"": ""Point"", ""coordinates"": [3.176292169915577, 50.68577272794263]}";50.6857727279,3.17629216992;50.6857727279;3.17629216992
940;;50 AVENUE JEAN BAPTISTE LEBAS;DISPO;AUTRES TYPE DE SERVICES;8;;CENTRE;O;O;Ouvert à la location;"{""type"": ""Point"", ""coordinates"": [3.170783812370799, 50.69271444671262]}";50.6927144467,3.17078381237;50.6927144467;3.17078381237
939;ALTEL TELEPHONIE;5 RUE PIERRE MOTTE;OUV;Au;4;;CENTRE;O;N;;"{""type"": ""Point"", ""coordinates"": [3.175799960410391, 50.69100302922412]}";50.6910030292,3.17579996041;50.6910030292;3.17579996041
1024;LE TROIS QUARTS;6 RUE NAIN;OUV;ALIMENTATION;1;;CENTRE;O;O;;"{""type"": ""Point"", ""coordinates"": [3.172445474442582, 50.69267843034659]}";50.6926784303,3.17244547444;50.6926784303;3.17244547444
970;AUTOVISION;53 BOULEVARD GAMBETTA;OUV;AUTRES TYPE DE SERVICES;7;;CENTRE;O;O;;"{""type"": ""Point"", ""coordinates"": [3.181138188762239, 50.691974686786985]}";50.6919746868,3.18113818876;50.6919746868;3.18113818876
997;THIRIEZ;57 BOULEVARD MONTESQUIEU;OUV;AUTRES TYPE DE SERVICES;7;;OUEST;N;N;;"{""type"": ""Point"", ""coordinates"": [3.16081650589237, 50.684965852397404]}";50.6849658524,3.16081650589;50.6849658524;3.16081650589
1002;;57 RUE WINSTON CHURCHILL;DISPO;ALIMENTAIRE;8;;CENTRE;O;O;;"{""type"": ""Point"", ""coordinates"": [3.180932786845381, 50.688756900794736]}";50.6887569008,3.18093278685;50.6887569008;3.18093278685
1042;BEEF& GRILL;64 GRANDE RUE;OUV;RR;6;;CENTRE;O;N;;"{""type"": ""Point"", ""coordinates"": [3.179178663204118, 50.69252627118375]}";50.6925262712,3.1791786632;50.6925262712;3.1791786632
1138;SO OPTIC;8 RUE DU VIEIL ABREUVOIR;OUV;OP;5;;CENTRE;O;O;;"{""type"": ""Point"", ""coordinates"": [3.17325885271976, 50.6919623602321]}";50.6919623602,3.17325885272;50.6919623602;3.17325885272
1131;LA RESSOURCE;8 CONTOUR SAINT MARTIN;DISPO;CAFE HOTEL RESTAURANT;6;;CENTRE;O;O;;"{""type"": ""Point"", ""coordinates"": [3.174546083454525, 50.692281603889626]}";50.6922816039,3.17454608345;50.6922816039;3.17454608345
1106;EPICERIE DE LA RUE DE LILLE;75 RUE DE LILLE;OUV;ALIMENTAIRE;1;;CENTRE;N;N;;"{""type"": ""Point"", ""coordinates"": [3.1697113674530772, 50.68608849194133]}";50.6860884919,3.16971136745;50.6860884919;3.16971136745
1082;THAI GOURMET;7 RUE DE L EPEULE;OUV;RT;6;;OUEST;O;O;;"{""type"": ""Point"", ""coordinates"": [3.163114393383701, 50.69187435523815]}";50.6918743552,3.16311439338;50.6918743552;3.16311439338
1108;CLINIQUE VÉTÉNIRAIRE;76 RUE DE L EPEULE;OUV;AU;7;;OUEST;O;O;;"{""type"": ""Point"", ""coordinates"": [3.161479713869297, 50.690203709984615]}";50.69020371,3.16147971387;50.69020371;3.16147971387
1117;CORSO MARKET;78 RUE JULES GUESDE;OUV;ALIMENTAIRE;1;;EST;O;O;;"{""type"": ""Point"", ""coordinates"": [3.183428304238117, 50.68453608996979]}";50.68453609,3.18342830424;50.68453609;3.18342830424
1124;;7B AVENUE JEAN BAPTISTE LEBAS;OUV;;6;;CENTRE;O;O;;"{""type"": ""Point"", ""coordinates"": [3.172135008800084, 50.691918406067344]}";50.6919184061,3.1721350088;50.6919184061;3.1721350088
1086;GARAGE DU PARC SA CITROEN;70 BOULEVARD DE CAMBRAI;OUV;AU;7;;CENTRE;N;N;;"{""type"": ""Point"", ""coordinates"": [3.167333620999799, 50.681572506236556]}";50.6815725062,3.167333621;50.6815725062;3.167333621
